A,አንድ
Partake,ከሱ ጋር ተሳተፈ 
Partial,ከፊል 
Partiality,ዝንባሌ
Participant,ተካፋይ
Participate,መካፈል 
Participle,ቦዝ አንቀጽ
Particle,ቅንጣት
Particular,ረገድ 
Particularity,የተለየ ጸባይ
Parting,መለያየት
Partisan,የደፈጣ ተዋጊ 
Partition,ከፋፈለ 
Partly,ግማሹ
Partner,ሽርካ 
Partnership,ሽርክና
Partridge,ቆቅ
Party,ግብዣ 
Paschal,የፋሲካ
Pass,አለፈ 
Passable,መጠነኛ 
Passage,መተላለፊያ 
Passenger,መንገደኛ 
Passer-by,መንገደኛ 
Passing,ሞት
Passion,ስሜት 
Passionate,የጋለ ስሜት ያለው 
Passive,ተካፋይ ያልሆነ 
Passport,በመንግስት የሚሰጥ የዜግነት ማረጋገጫ
Password,የመለያ ቃል 
Past,የጥንት ታሪክ 
Paste,ለጠፈ 
Pastime,የጊዜ ማሳለፊያ
Pastor,ካህን
Pastoral,ከብት አርቢ 
Pastry,ብስኩት መሳይ
Pasture,በላ 
Pat,አሻሸ 
Patch,ለጠፈ 
Patent,የአዕምሮ ንብረት መብት 
Paternal,አባታዊ 
Paternalism,አባታዊ አስተዳደር
Paternity,አባት መሆን
Path,የእግር መንገድ 
Pathetic,አሳዛኝ
Patience,ትዕግስት 
Patient,በሽተኛ 
Patriarch,ባለቤት 
Patrimony,የወረሰው ሃብት
Patriot,አርበኛ 
Patrol,እየተዘዋወረ ጠበቀ
Patron,ደንበኛ 
Patronage,የደንበኛ ማበረታቻ
Patter,ገረፈ
Pattern,ሐረግ 
Paucity,ማነስ
Pauper,የኔ ቢጤ
Pause,ቆም አለ 
Pave,አነጠፈ 
Pavement,የተነጠፈ መንገድ
Pavilion,ለኤግዚቢሽን የሚያገለግል ጊዜያዊ ዳስ መሳይ ቤት
Paw,ፎገረ 
Pawn,አስያዘ 
Pay,ከፈለ 
Payable,መከፈል ያለበት
Payment,መክፈል 
Pea,አተር
Peace,ሰላም 
Peaceable,ሰላማዊ
Peaceful,ጸጥ ያለ 
Peak,ጫፍ 
Peal,ተደወለ
Peanut,ኦቾሎኒ
Pearl,ሉል
Peasant,ገበሬ
Pebble,ጠጠር
Peck,መስፈሪያ
Peculiar,የተለየ 
Peculiarity,ልዩ ጠባይ 
Pecuniary,የገንዘብ
Pedal,መርገጫ 
Peddle,እየዞረ ሸጠ
Peddler,ሱቅ በደረቴ አዟሪ
Pedestal,መቆሚያ
Pedestrian,እግረኛ
Pedigree,የዘር ግንድ
Peek,አሾልኮ አየ 
Peel,ተቀረፈ 
Peep,አሾልኮ አየ 
Peer,አተኩሮ ተመለከተ 
Peevish,ብስጩ
Peg,ቸከለ
Pellet,ጥይት
Pelt,ደበደበ 
Pelvis,የወገብ አጥንት
Pen,አጎረ 
Penal,የወንጀለኞች
Penalize,ቀጣ
Penalty,ቅጣት 
Penance,ንስሓ
Pencil,እርሳስ
Pendant,የተንጠለጠለ ጌጥ
Pending,በይደር ላይ ያለ 
Penetrate,ገባ 
Peninsula,ባህረ ገብ መሬት
Penitent,የጸጸት
Penitential,የንስሓ
Penitentiary,ወኅኒ ቤት
Penknife,ሰንጢ
Penniless,ባዶ እጁን
Penny,ቤሳ
Pensive,መተከዝ
Penury,ድህነት
People,ሰፈረ 
Pepper,በርበሬ
Peppery,በርበሬ የበዛበት
Per,በ---እጅ 
Perambulate,ተንሸራሸረ
Perceive,ታየ（ው） 
Percentage,ከመቶ 
Perceptible,ጉልህ
Perception,የጠለቀ አስተሳሰብ 
Perceptive,የተጣራ 
Perch,አረፈ 
Perchance,ምናልባት
Percolate,ዘለቀ
Percussion,ድምጽ
Perdition,ሲዖል
Peremptory,ድርቅ ያለ
Perennial,ዘላቂነት ያለው 
Perfect,እንከን የሌለበት 
Perfection,እንከን የማይወጣለት መሆን 
Perfectly,በደንብ 
Perfidy,ሸፍጥ
Perforate,በላ
Perforce,የግድ
Perform,ፈጸመ 
Performance,አፈጻጸም 
Perfume,አወደ 
Perfunctory,ግድ የለሽ 
Perhaps,ምናልባት
Peril,አደጋ
Perilous,አደገኛ
Period,ዘመን 
Periodic,በመደበኛ የጊዜ ልዩነት የሚከሰት
Periodical,መጽሄት
Periphery,ጠረፎች 
Perish,አለቀ 
Perishable,የሚበላሽ
Perjure,በሃሰት መሰከረ
Perjury,በሃሰት መመስከር
Perk,አቆመ
Permanent,ቋሚ
Permeable,ውሃ የሚመጥ
Permeate,በሙሉ ዘለቀ 
Permissible,የተፈቀደ
Permission,ፈቃድ
Permissive,ልል
Permit,ፈቀደ 
Permutation,እያለዋወጡ ማስቀመጥ
Permute,ለወጠ
Pernicious,ጠንቅ
Perpendicular,ቀጥ ብሎ የሚወርድ 
Perpetrate,ፈጸመ
Perpetual,የማያቋርጥ 
Perpetuate,ጠብቆ አቆየ
Perpetuity,እስከነ ጭራሹ 
Perplex,ግራ አጋባ 
Perplexity,መደናገር 
Perquisite,ከደሞዝ በተጨማሪ
Persecute,አሰቃየ 
Persecution,ማሰቃየት
Perseverance,የመጣጣር ብዛት
Persevere,ያለመሰልቸት ጣረ 
Persist,ቀጠለ 
Persistent,ያልተቆጠበ 
Person,ሰው 
Personable,መልከ መልካም
Personage,ሰው
Personal,የግል 
Personality,ባህርይ 
Personally,በበኩሉ 
Personification,መልካም ምሳሌ 
Personify,መሰለ 
Personnel,ሰራተኞች
Perspective,አስተያየት 
Perspicacious,አስተዋይ 
Perspiration,ላብ
Perspire,አላበ(ው)
Persuade,አግባባ
Persuasive,የማግባባት
Pert,ደፋር
Pertain,ተመለከተ 
Pertinacious,የማያቋርጥ 
Pertinent,ተገቢ 
Perturb,አሳሰበ
Peruse,በጥንቃቄ አነበበ 
Pervade,አወደ 
Perverse,እልኸኛ 
Perversion,ማዛባት
Pervert,አዞረ 
Pest,ወረርሽኝ 
Pester,ጨቀጨቀ
Pestilence,ቸነፈር
Pestilent,መርዘኛ 
Pestle,ዘነዘና
Pet,ደባበሰ 
Petal,ቅጠል
Petition,አቤቱታ አቀረበ 
Petrify,እንደ ድንጋይ አደረገ 
Petrol,ቤንዚን
Petroleum,ዘይት
Petty,ዝቅተኛ 
Pew,የቤተክርስቲያን አግዳሚ መቀመጫ
Phantom,ጣረ ሞት የሚመስል ነገር 
Pharmacist,መድኃኒት ቀማሚ
Phase,ቀስ በቀስ አስቀረ 
Pheasant,ጣዎስ
Phenomenon,ምልክት 
Philanthropic,የችሮታ
Philanthropy,ችሮታ 
Philosopher,ፈላስፋ
Philosophy,ፍልስፍና 
Phlegm,አክታ
Phlegmatic,ግድየለሽ
Phone,ስልክ ደወለ 
Phonetic,የድምጽ
Phonetics,የድምጸ ልሳን ጥናት
Phonograph,ሸክላ ማጫወቻ
Photo,ፎቶግራፍ
Photograph,ፎቶግራፍ አነሳ
Phrase,ገለጸ 
Phraseology,አነጋገር
Physical,ግዙፍ 
Physician,ሐኪም
Physics,ፊዚክስ
Physiology,የሰው አካል ጥናት
Piano,ፒያኖ
Pick,ቀጠፈ 
Picket,ሰላማዊ ሰልፍ አደረገ
Pickle,በኮምጣጤና በጨው የተዘፈዘፈ ዱባ ወይም ሌላ ዓይነት ፍሬ
Pickpocket,ኪስ አውላቂ
Picnic,ሽርሽር
Pictorial,ሥዕላዊ
Picture,ገለጸ 
Picturesque,ውብና ማራኪ
Piece,ቁራሽ 
Piecemeal,ጥቂት በጥቂት
Pier,የወደብ መድረክ
Pierce,በሳ 
Piety,ሃይማኖተኛነት 
Pig,አሳማ
Piggy,ግልገል አሳማ 
Piggyback,አዘለ
Pigheaded,ሃሳበ ግትር
Pigment,ማቅለሚያ
Pile,ቆለለ 
Pilfer,ሰረቀ
Pilgrim,ተሳላሚ
Pilgrimage,ወደ ቅዱሳን ቦታዎች የሚደረግ ሃይማኖታዊ ጉዞ 
Pill,ኪኒን
Pillage,ዘረፈ
Pillar,ዓምድ 
Pillory,ለእጅና ለአንገት ማስገቢያ ያለው ከእንጨት የተሰራ ወንጀለኛ ባደባባይ የሚቀጣበት ነገር
Pillow,ትራስ 
Pillowcase,የትራስ ልብስ
Pilot,መራ 
Pimple,ብጉር
Pin,ላከከ 
Pincers,ወረንጦ
Pinch,ቆነጠጠ 
Pine,ጓጓ 
Pinion,የፊጥኝ አሰረው
Pinnacle,የተራራ ጫፍ 
Pinpoint,ለይቶ አመለከተ
Pioneer,ቀዳሚነት ያዘ 
Pious,ሃይማኖተኛ 
Pipe,አሰማ 
Piracy,የባህር ላይ ዝርፊያ
Pirate,የባህር ላይ ዘራፊ 
Pistol,ሽጉጥ
Pit,ጉድጓድ 
Pitch,ወረወረ 
Pitcher,ማንቆርቆሪያ 
Pitchfork,መንሽ
Piteous,የሚያሳዝን
Pitfall,ዕንቅፋት
Pitiful,አሳዛኝ 
Pity,ሃዘኔታ 
Pivot,ተሽከረከረ 
Placate,አባበለ
Place,አኖረ
Placid,ጸጥ ያለ
Plagiarize,የራሱ አስመስሎ ቀዳ
Plague,ወረርሽኝ 
Plain,ሜዳ 
Plaintiff,ከሳሽ
Plaintive,የሃዘን እንጉርጉሮ 
Plait,ጎነጎነ
Plan,አቀደ 
Plane,ላገ 
Planet,ዓለም
Plank,ላንቃ
Plant,ተከለ 
Plantation,እርሻ 
Planter,ባለመሬት
Plaster,ለሰነ 
Plastic,ፕላስቲክ
Plate,ከሰረ 
Plateau,አምባ
Platform,መድረክ 
Platoon,የመቶ 
Platter,ዝርግ ሳሕን
Play,ተጫወተ 
Player,ተጫዋች
Playful,ተጫዋች
Playground,የመጫወቻ ስፍራ
Playmate,ጓደኛ
Plaything,መጫወቻ
Playwright,የቲያትር ደራሲ
Plea,ልመና 
Plead,ተሟገተ 
Pleasant,ደስ የሚል 
Pleasantry,የቀልድ አነጋገር
Please,አስደሰተ 
Pleasure,ደስ አለው 
Pleat,ሸነሸነ 
Pledge,ቃል ገባ 
Plenary,ሙሉ
Plenipotentiary,ባለሙሉ ሥልጣን
Plenitude,መዓት
Plenteous,መብዛት
Plentiful,ብዙ
Plenty,ጥጋብ
Pleurisy,የሳምባ በሽታ
Pliable,ሊተጣጠፍ የሚችል
Pliant,የሚተጣጠፍ 
Pliers,ጉጠት
Plight,መከራ
Plod,አዘገመ 
Plot,አደመ 
Pluck,ነጨ 
Plug,ውታፍ 
Plumb,ገመድ ሰደደ 
Plumber,ቧንቧ ሰራተኛ
Plumbing,የቧንቧ ስራ
Plummet,ቱንቢ 
Plump,የፋፋ
Plunder,ዘረፈ 
Plunge,ጣለ 
Plunk,መታ
Plural,የብዙ ቁጥር
Plurality,ብልጫ
Plus,የመደመር
Ply,ሰራ 
Pneumonia,የሳምባ ምች
Poach,ያለ ፈቃድ አደነ
Pocket,እኪሱ አደረገ 
Pocketbook,ቦርሳ
Pod,ፍልፋይ
Podium,መድረክ
Poem,ግጥም
Poet,ባለቅኔ 
Poetic,የግጥም 
Poetry,ግጥም 
Point,ደገነ 
Point-blank,በቀጥታ
Pointed,ሹል
Pointer,መጠቆሚያ 
Pointless,የዶለዶመ 
Poise,የርጋታ መንፈስ
Poison,መርዝ 
Poke,ወጋጋ 
Polar,የምድር ዋልታ
Pole,ምሰሶ 
Polemic,የሚቃረን
Polemics,ክርክር
Police,ተቆጣጠረ 
Policeman,ፖሊስ
Policy,ዓላማ 
Polish,ጠረገ 
Polite,ትሁት 
Political,የፖለቲካ 
Politician,የፖለቲካ ሰው
Politics,የፖለቲካ አስተሳሰብ 
Poll,አስተያየት ጠየቀ 
Pollute,በከለ 
Polyglot,ብዙ ቋንቋ መናገር የሚችል ሰው
Polytheism,በብዙ አማልክት ማመን
Pomegranate,ሮማን
Pommel,በቡጢ መታ 
Pomp,ድምቀትና ሥነ ሥርዓት
Pompous,ጉረኛ
Pond,ኩሬ
Ponder,አወጣ አወረደ 
Ponderous,ግዙፍ 
Pontificate,እየተጎላመሰ ተናገረ
Pony,ድንክ ፈረስ
Pool,ባንድ አዋሃደ 
Poor,ድኃ 
Poorly,እንደ ነገሩ 
Pop,ብው ብሎ ፈነዳ 
Popcorn,የበቆሎ ቆሎ
Pope,ሊቀ ጳጳስ
Populace,ህዝብ
Popular,የተዛመተ 
Popularize,በሕዝብ ዘንድ የታወቀ አደረገ
Populate,ሕዝብ ጥቅጥቅ አለበት 
Population,ሕዝብ 
Populous,የተጨናነቀ
Porcelain,የሽክላ
Porch,በረንዳ
Porcupine,ጃርት
Pore,አሰላሰለ 
Pork,ያሳማ ስጋ 
Porous,ውኅ የሚያሳልፍ
Porridge,ገንፎ
Port,ወደብ
Portable,የእጅ 
Portal,ትልቅ በር
Portend,መምጣ አመለከተ 
Portent,የሚከተል መሆኑን አመለከተ
Porter,ተሸካሚ ኩሊ 
Portfolio,ቦርሳ
Portion,አከፋፈለ 
Portly,ወፍራም
Portrait,ስዕል 
Portray,ገለፀ 
Pose,አስቀመጠ 
Position,ስራ 
Positive,እርግጠኛ 
Possess,አለው 
Possession,ንብረት 
Possessive,ሁሌ የሚቆጣጠር
Possibility,መንገድ 
Possible,ሊደርስበት : የሚችል 
Possibly,ምናልባት
Post,መደበ(ተመደበ) 
Postage,ቴምብር 
Postal,የፖስታ
Postbox,የደብዳቤ ማጠራቀሚያ
Postcard,ካርድ
Poster,ሥዕላዊ መግለጫ
Posterior,የኋለኛ
Posterity,ወደፊት የሚመጣ ትውልድ
Postman,ፖስተኛ
Postmark,የፖስታ አመላላሽ 
Postpone,አስተላለፈ
Postscript,ከደብዳቤ ግርጌ ያለ ተጨማሪ
Postulate,አመለከተ 
Posture,የሰዉነት አቋም 
Pot,ሸክላ 
Potable,ለመጠጥ የሚሆን
Potato,ድንች
Potent,ኀይለኛ 
Potentate,ገዥ
Potential,ወደፊትች 
Potion,መድኀኒት
Potsherd,የሸክላ ስብርባሪ
Potter,ወዲያ ወዲህ አለ 
Pottery,ሸክላ 
Pouch,ከረጢት
Poultry,ዶሮ
Pounce,ድንገት ወርዶ ያዘ
Pound,ሸከሸከ 
Pour,ቀዳ 
Pout,ለምቦጩን ጣለ
Poverty,ድኽነት 
Powder,ፈጨ 
Power,ኀይል 
Powerful,ኅይለኛ 
Practicable,ስራ ላይ ሊውል የሚችል
Practical,ተገቢ 
Practically,እንደሚበጅ 
Practice,ተለማመደ 
Prairie, የሳር ሜዳ
Praise,አመሰገነ 
Praiseworthy,ምስጋና የሚገባው
Prank,ቀልድ
Prattle, ለፈለፈ 
Pray,ለመነ
Prayer,ጸሎት 
Preach,ሰበከ 
Preacher,ሰባኪ
Preamble,መግቢያ
Precarious,አደገኛ 
Precaution,ጥንቃቄ 
Precede,ቀደመ 
Precedence,ቅድሚያ
Precedent,የሚያሳይ ምሳሌ
Precept,ምክር 
Precinct, ቀበሌ
Precious,የከበረ 
Precipitate,አስከተለ 
Precipitation,ችሎታ 
Precipitous, ቀጥ ያለ
Precise,ጠንቃቃ 
Precisely,ልክ 
Precision,ትክክለኛነት
Preclude,አደረገ
Precocious,ከዕድሜው የቀደመ ብልህ
Precursor,ቀዳሚ 
Predate,በፊት ነበረ 
Predatory,ሌሎችን እንስሳት በማደን የሚኖር
Predecessor,በፊት በቦታው የነበረ 
Predestination,ያርባ ቀን ዕድል
Predetermine,አስቀድሞ ወሰነ
Predicament,አስቸጋሪ ሁኔታ
Predicate,ብሎ አመነ 
Predict,ተነበየ
Prediction,ትንቢት
Predilection,መውደድ
Predominant,በይበልጥ የሚታይ 
Predominate,በይበልጥ ታየ
Preface,ከ----በፊት ተሰጠ 
Prefer,መረጠ 
Preference,ምርጫ
Preferential,ያድላዊነት
Prefix,ባዕድ መነሻ
Pregnancy,የነፍሰ ጡር ጊዜ
Pregnant,ነፍሰ ጡር 
Prejudge,አስቀድሞ ፈረደ
Prejudice,አግባብ የሌለው ጥላቻ
Preliminary,የመጀመሪያ ደረጃ
Prelude,መግቢያ 
Premier,ጠቅላይ ሚኒስተር
Premise,መሰረት
Premium,ጉርሻ 
Premonition,ተሰማ(ው)
Preoccupation,ቀደም ብሎ መያዝ
Preoccupy,በኅይል አሳሰበ
Preparation,ዝግጅት 
Preparatory,ቀዳሚ
Prepare,አዘጋጀ አሰናዳ 
Preponderant,ከሁሉም የበለጠ
Preponderate,ከሁሉም በዛ 
Preposition,መስተዋድድ
Preposterous,የማይረባ
Prerequisite,ያስፈልጋል
Prerogative,ስልጣን 
Presage,ዕንደሚመጣ አመለከተ
Presbyter,ቀሲስ
Prescribe,አዘዘ
Prescription,የመድኃኒት ማዘዣ የሐኪም ትእዛዝ
Presence,መኖር 
Present,አቀረበ 
			 7 ስጦታ 8 ገፀ-በረከት 9 አሁን ጊዜ 10 አቤት 11 ያሁኑ 12 አሁን ያለበት,			 7 ስጦታ 8 ገፀ-በረከት 9 አሁን ጊዜ 0 አቤት ያሁኑ 
Presentable,እንደሚስማማ አድርጎ
Presentation,አቀራረብ 
Presentiment,ጥርጣሬ አደረበት
Presently,አሁን 
Preservation,መጠበቅ 
Preserve,ምግብ 
			 2 ጠበቅ 3 በደንብ 4 የዱር አራዊት ክልል,			 
Preside,በሊቀ መንበርነት መራ 
Presidency,ፕሬዚዳንትነት 
President,ፕሬዘዳንት
Press,ተኮሰ 
			 8 አጥብቆ ጠየቀ 9 ገፋ 10 ገፋፋ 11 ተዳደፈ 12 እየተጋፋ 13 ተጋፋ ,			 8 አጥብቆ ጠየቀ 9 ገፋ 0 ገፋፋ ተዳደፈ 
			 14 የማተሚያ መኪና 15 መጭመቂያ መኪና 16 ጋዜጦች 17 ጋዜጠኞች,			 4 የማተሚያ መኪና 5 መጭመቂያ መኪና 6 ጋዜጦች 7 ጋዜጠኞች
Pressing,አስቸኋይ 
Pressure,ጭንቀት 
Prestige,ክብር
Prestigious,ስመ ጥር
Presumably,ምናልባት
Presume,መሰለ(ው)
Presumption,መድፈር
Presumptuous,ልበ ሙሉ
Presuppose,ቀደም ሲል መኖሩን አመለከተ 
Pretend,በሐሠት አለ 
Pretense,ሰበብ 
Pretension,አለሁ አለሁ ማለት
Pretentious,ለጉራ 
Pretext,ሰበብ
Pretty,ተጊያጊያጠ 
Prevail,ተሳካ 
Prevalent,ያብዛኛው ህዝብ
Prevent,አስቀረ
Preventive,መከላከያ
Previous,የፊተኛ 
			 6 ባለፈውጊዜ,			 6 ባለፈውጊዜ
Prey,ወረረ 
Price,ዋጋ አየ 
Priceless,እጅግ ውድ
Prick,ወጋ 
Prickle,ቧጨጨ 
Prickly,እሾህማ
Pride,ኮራ 
Priest,ቄስ
Priesthood,ካህናት
Priestly,የቅስና
Primacy,ቀደምትነት
Primary,መሰረታዊ 
Prime,ለማንቀሳቀስ አዘጋጀ 
Primeval,የመጀመሪያ
Primitive,የጥንት 
Primogeniture,ብኲርና 
Prince,ልዑል
Princely,የልዑልዑነት 
Princess,ልዕልት
Principal,ሥራ መሪ ዲሬክተር 
Principle,መሰረታዊ ደንብ 
			 7 ይሉኝታ 8 የሚያምንበት ነገር 9 መምሪያ,			 7 ይሉኝታ 8 የሚያምንበት ነገር 9 መምሪያ
Print,አተመ 
Printer,አታሚ
Printing,እትም
Prior,ቀደም አለ
Priority,ቀደምትነት
Prison, እስር ቤት
Prisoner,እስረኛ
Pristine,እንዳለ
Privacy,ለብቻ መሆን 
Private,ተራ ወታደር 
Privation,በምግብና በልብስ ችግር 
Privilege,ልዩ መብት
Privy,ውስጡን ዐወቀ
Probability,ይሆናል 
Probable,ሳይሆን አይቀርም
Probation,የሙከራ ደረጃ
Probe,መረመረ 
Probity,ሐቀኝነት
Problem,ጉዳይ 
Problematic,አጠራጣሪ
Procedure,ሥርዓት
Proceed,ጀመረ 
Proceeding,ነገር
Proceeds,ያገኘው ገንዘብ
Process,አዘጋጀ 
Procession,ሰልፍ 
Proclaim,ዐወጀ 
Proclivity,ዝንባሌ
Procrastinate,አቆየ ነገ ዛሬ አለ
Procure,አገኘ 
Prod,ወጋወጋ አደረገ 
Prodigal,አባከነ 
Prodigious,የሚያስደንቅ 
Prodigy,ተሰጥዖ ያለው ልጅ
Produce,ሠራ(ተሠራ) 
			6  አቀረበ 7አፈለቀ 8 አሳየ 9 አስገኘ 10 አስከተለ 11 የእርሻ ሀብት,			6  አቀረበ 7አፈለቀ 8 አሳየ 9 አስገኘ 0 አስከተለ የእርሻ ሀብት
Product,ሀብት 
Production,የፋብሪካ 
Productive,ጠቃሚ 
Productivity,ምርት ሰብል 
Profane,አረከሰ 
Profanity,ጸያፍ ነገር
Profess,ገለፀ 
Profession,ሙያ 
Professional,የጫዋታ ባለሙያ 
Professor,መምህር ፕሮፌሶር
Proffer,ገለፀ
Proficient,በቂ ችሎታ ያለው
Profile,ጎን 
Profit,ጠቀመ 
Profitable,ትርፍ የሚያስገኝ 
Profound,ጥልቅ 
Profuse,በጣም ብዙ
Progenitor,ቅድመ አያት 
Progeny,ተወዳጆች
Prognosis,ግምት አስተያየት
Prognosticate,ይመጣል አለ
Progress,ገፋ 
			 5 እርምጃ 6 መሻሻል,			 5 እርምጃ 6 መሻሻል
Progressive,ታዳጊ 
Prohibit,ከለከለ 
Prohibition,መከልከል
Prohibitive,የማይደፈር
Project,ፈነጠቀ 
Projection,ወጣ ያለ ጉጥ ነገር
Projector,(የሲኒማ) ማሳያ
Proliferate,ቁጥራቸው ከመጠን አለፈ 
Prolific,ወላድ
Prologue,መቅድም
Prolong,አራዘመ
Promenade,ተንሸራሸረ 
Prominence,መታወቅ
Prominent,ስመ ጥር 
Promiscuous,ልክስክስ ሴት
Promise,ቃል ገባ 
Promising,ተስፋ ያለው 
Promontory,ጉጥ
Promote,አስፋፋ 
Prompt,ገፋፋ 
Promulgate,ዐወጀ 
Prone,ዝንባሌ አለው
Prong,ጣት
Pronoun,ተውላጠ ስም
Pronounce,አስታወቀ 
Pronounced,የተጨበጠ 
Pronunciation,አባባል 
Proof,ማስረጃ 
Prop,ደገፈ
Propaganda,የሐሰት ወሬ 
Propagate,አሰራጨ 
Propel,አመጠቀ 
Propeller,ውልብልቢት
Propensity,ዝንባሌ
Proper,ተገቢ 
Properly,በደንብ 
Property,ንብረት 
Prophecy,ትንቢት
Prophesy,ተነበየ
Prophet,ነቢይ
Prophetic,የነቢይነት 
Prophylactic,ለመከላከል የሚረዳ
Propinquity,ጉርብትና 
Propitiate,ተማጸነ 
Propitious,ተስማሚ 
Proponent,ደጋፊ
Proportion,ክፍል
Proportional,ተመጣጣኝ
Proposal,ሐሳብ 
Propose,አሰበ 
Proposition,ሐሳብ
Propound,አቀረበ
Proprietary,የንብረት 
Proprietor,ባለንብረት
Propriety,ሥነ ሥርዓት 
Prorate,ከፈለ 
Proscribe,አወገዘ 
Prose,እገዳ
Prosecute,ሕግ ፊት አቀረበ 
Prosecution,አያያዝ 
Prosecutor,ሕግ አስከባሪ
Proselyte,ተከታይ
Proselytize,ሰበከ
Prospect,ተስፋ 
Prospective,የወደፊት 
Prosper,በለጸገ
Prosperity,ብልጽግና 
Prosperous,የበለጸገ 
Prostitute,ሴተኛ አዳሪ 
Prostrate,ገነዳደሰ 
Protect,ጠበቀ 
Protection,መከላከል 
Protective,የመከላከያ 
Protector,የሚከላከል
Protectorate,በሞግዚትነት የምትተዳደር ሃገር
Protest,ተከራከረ 
Protocol,ፕሮቶኮል
Protract,አራዘመ
Protrude,አወጣ
Proud,ኩሩ
Prove,አረጋገጠ 
Proverb,ምሳሌ
Proverbial,ለምሳሌነት የሚበቃ
Provide,አዘዘ 
Providence,አርቆ አስተዋይነት
Provident,አርቆ አሳቢ
Province,ጠቅላይ ግዛት 
Provincial,የጠቅላይ ግዛት 
Provision,አንቀጽ 
Provisional,ጊዜያዊ
Provocation,ማነሳሳት
Provoke,አስከተለ 
Prowl,አደባ 
Proximity,ቅርበት መሆን
Proxy,ወኪል
Prudent,አርቆ የሚያስብ
Prune,ከረከመ 
Pry,ጣልቃ ገባ
Pseudonym,የብዕር ስም
Psychiatry,የአዕምሮ ህክምና
Psychic,ከተፈጥሮ ህግ ውጭ
Psychology,የስነ ልቡና ትምህርት 
Puberty,አቅመ አዳም 
